CONGLOME,VIVIENDA,HOGAR,CODPERSO,nacionalidad,ocupacion_principal,rama_actividad,anios_en_ocupacion_actual,meses_en_ocupacion_actual,tipo_contrato,indicador_pea,condicion_formalidad,sexo,edad,estado_civil,nivel_educ_venezuela,nivel_educ_peru,obtuvo_titulo,homologo_titulo_peru,tiene_carrera_superior,tipo_permiso_migratorio,mes_llegada_peru,anio_llegada_peru,discriminado_centro_trabajo,tiempo_residencia_anios,condicion_laboral,anios_escolaridad_venezuela,anios_escolaridad_peru,brecha_educativa_anios,ocupacion_grupo,rama_division,tiene_ocupacion_actual
207,282,11,2,2,,,0.0,0.0, ,3,,2,20,6,3,5, , , ,2,12.0,2020.0, ,4.0,Desempleado,4.5,8.5,-4.0,,,0
207,282,11,3,2,9313,4100,3.0,5.0,7,1,1.0,1,17,6,4,13, , , ,2,12.0,2020.0, ,4.0,Empleado_Informal,9.0,9.0,0.0,9,41,1
207,282,11,4,2,5142,9602,4.0,1.0,7,1,1.0,2,22,1,3,13, , , ,2,12.0,2020.0, ,4.0,Empleado_Informal,4.5,4.5,0.0,5,96,1
212,289,11,1,2,9313,4100,5.0,4.0,7,1,1.0,1,38,1,3,3, , , ,2,4.0,2019.0, ,5.0,Empleado_Informal,4.5,3.0,1.5,9,41,1
212,289,11,2,2,,,0.0,0.0, ,3,,2,32,1,4,13, , , ,2,6.0,2019.0, ,5.0,Desempleado,9.0,9.0,0.0,,,0
212,289,11,6,2,7111,4100,1.0,3.0, ,1,1.0,1,17,1,5,5, , , ,2,4.0,2019.0, ,5.0,Empleado_Informal,10.0,8.5,1.5,7,41,1
212,297,11,1,2,9112,8121,1.0,6.0, ,1,1.0,2,25,5,3,13, , , ,1,10.0,2022.0, ,2.0,Empleado_Informal,4.5,4.5,0.0,9,81,1
409,583,11,1,2,5131,5630,0.0,7.0,7,1,1.0,2,26,5,6,13, , , ,9,2.0,2020.0, ,4.0,Empleado_Informal,11.0,11.0,0.0,5,56,1
409,584,11,1,2,5131,5630,0.0,2.0,7,1,1.0,2,22,5,5,13, , , ,9,2.0,2023.0, ,1.0,Empleado_Informal,10.0,10.0,0.0,5,56,1
409,586,11,1,2,5131,5630,0.0,9.0,7,1,1.0,2,22,5,5,13, , , ,9,6.0,2022.0,1,2.0,Empleado_Informal,10.0,10.0,0.0,5,56,1
415,596,11,1,1,8321,4922,2.0,8.0, ,1,1.0,1,30,1,1,9, , ,3,,,,,,Empleado_Informal,0.0,13.5,-13.5,8,49,1
415,610,11,1,2,,,0.0,0.0, ,2,,2,32,1,5,13, , , ,9,9.0,2023.0, ,1.0,Desempleado,10.0,10.0,0.0,,,0
415,610,11,2,2,6222,311,1.0,0.0, ,1,1.0,1,35,1,5,13, , , ,9,12.0,2023.0, ,1.0,Empleado_Informal,10.0,10.0,0.0,6,03,1
698,195,11,2,2,5212,4722,1.0,6.0,2,1,1.0,2,21,6,6,13, , , ,1,12.0,2022.0, ,2.0,Empleado_Informal,11.0,11.0,0.0,5,47,1
698,198,11,1,2,4321,5510,6.0,0.0,1,1,2.0,1,30,1,9,13, , ,3,2,8.0,2019.0,0,5.0,Empleado_Formal,13.5,13.5,0.0,4,55,1
698,198,11,2,2,5212,4773,6.0,0.0,7,1,1.0,2,26,1,6,13, , , ,2,9.0,2019.0, ,5.0,Empleado_Informal,11.0,11.0,0.0,5,47,1
698,199,11,1,2,7129,3100,3.0,0.0,7,1,1.0,1,28,6,7,13, , ,3,1,1.0,2021.0, ,3.0,Empleado_Informal,12.5,12.5,0.0,7,31,1
708,211,11,1,2,,,0.0,0.0, ,2,,2,36,1,6,13, , , ,1,6.0,2019.0, ,5.0,Desempleado,11.0,11.0,0.0,,,0
708,211,11,2,2,7111,4100,6.0,0.0, ,1,1.0,1,38,1,5,13, , , ,2,10.0,2018.0, ,6.0,Empleado_Informal,10.0,10.0,0.0,7,41,1
708,212,11,1,2,7421,9522,2.0,2.0, ,1,2.0,1,38,1,5,13, , , ,6,5.0,2019.0, ,5.0,Empleado_Formal,10.0,10.0,0.0,7,95,1
708,212,11,2,2,,,0.0,0.0, ,2,,2,30,1,6,13, , , ,6,5.0,2019.0, ,5.0,Desempleado,11.0,11.0,0.0,,,0
708,213,11,1,2,9629,9609,1.0,2.0, ,1,1.0,1,30,1,5,13, , , ,6,8.0,2018.0, ,6.0,Empleado_Informal,10.0,10.0,0.0,9,96,1
708,213,11,2,2,5131,5610,0.0,1.0,7,1,1.0,2,36,1,5,13, , , ,1,7.0,2022.0, ,2.0,Empleado_Informal,10.0,10.0,0.0,5,56,1
921,335,11,1,2,9333,5224,4.0,0.0, ,1,1.0,1,30,6,7,13, , ,3,1,4.0,2019.0, ,5.0,Empleado_Informal,12.5,12.5,0.0,9,52,1
921,336,11,1,2,9112,5510,0.0,2.0,7,1,1.0,1,30,1,6,13, , , ,1,5.0,2019.0, ,5.0,Empleado_Informal,11.0,11.0,0.0,9,55,1
921,336,11,2,2,5245,1071,0.0,1.0,7,1,1.0,2,23,1,4,13, , , ,9,1.0,2018.0, ,6.0,Empleado_Informal,9.0,9.0,0.0,5,10,1
921,339,11,1,2,9122,4520,0.0,7.0,7,1,1.0,1,45,6,6,13, , , ,2,8.0,2018.0, ,6.0,Empleado_Informal,11.0,11.0,0.0,9,45,1
931,349,11,1,2,,,0.0,0.0, ,2,,2,45,5,8,13,1,2,3,6,3.0,2018.0, ,6.0,Desempleado,14.0,14.0,0.0,,,0
931,349,11,2,2,8321,4922,2.0,0.0, ,1,1.0,1,23,1,5,13, , , ,1,4.0,2019.0, ,5.0,Empleado_Informal,10.0,10.0,0.0,8,49,1
931,350,11,1,2,9112,4100,0.0,3.0,2,1,1.0,2,29,1,10,13,2, ,3,6,6.0,2018.0, ,6.0,Empleado_Informal,16.0,16.0,0.0,9,41,1
931,350,11,2,2,9313,4100,2.0,3.0,7,1,1.0,1,28,1,5,13, , , ,1,4.0,2019.0, ,5.0,Empleado_Informal,10.0,10.0,0.0,9,41,1
931,351,11,1,2,9411,5610,0.0,2.0,7,1,1.0,2,25,6,5,13, , , ,2,3.0,2023.0, ,1.0,Empleado_Informal,10.0,10.0,0.0,9,56,1
998,397,11,1,2,5120,5610,4.0,0.0, ,1,1.0,1,58,1,5,13, , , ,2,11.0,2019.0,0,5.0,Empleado_Informal,10.0,10.0,0.0,5,56,1
998,397,11,2,2,9412,5610,4.0,9.0,7,1,1.0,2,70,1,3,13, , , ,1,11.0,2019.0, ,5.0,Empleado_Informal,4.5,4.5,0.0,9,56,1
998,407,11,1,2,9313,4100,0.0,1.0,7,1,1.0,1,34,1,10,13,1,2,3,1,3.0,2023.0, ,1.0,Empleado_Informal,16.0,16.0,0.0,9,41,1
998,408,11,1,2,8321,4922,0.0,3.0, ,1,1.0,1,35,1,6,13, , , ,2,3.0,2019.0, ,5.0,Empleado_Informal,11.0,11.0,0.0,8,49,1
1008,404,11,1,2,5120,5610,1.0,2.0,7,1,1.0,1,24,6,6,13, , , ,1,1.0,2019.0, ,5.0,Empleado_Informal,11.0,11.0,0.0,5,56,1
1008,405,11,1,2,4214,8291,1.0,0.0,7,1,1.0,1,25,1,6,13, , , ,2,12.0,2021.0, ,3.0,Empleado_Informal,11.0,11.0,0.0,4,82,1
1008,405,11,2,2,5131,5610,0.0,8.0,7,1,1.0,2,26,1,5,13, , , ,1,4.0,2022.0, ,2.0,Empleado_Informal,10.0,10.0,0.0,5,56,1
1008,406,11,1,2,5212,4773,0.0,2.0,7,1,1.0,2,37,6,6,13, , , ,2,1.0,2019.0, ,5.0,Empleado_Informal,11.0,11.0,0.0,5,47,1
1127,25,11,1,2,,,0.0,0.0, ,2,,1,48,1,6,13, , , ,1,1.0,2023.0, ,1.0,Desempleado,11.0,11.0,0.0,,,0
1127,25,11,2,2,9112,8121,0.0,8.0, ,1,1.0,2,51,1,6,13, , , ,2,11.0,2022.0, ,2.0,Empleado_Informal,11.0,11.0,0.0,9,81,1
1127,25,11,3,2,9112,8121,0.0,1.0,7,1,1.0,1,19,6,5,13, , , ,2,11.0,2022.0, ,2.0,Empleado_Informal,10.0,10.0,0.0,9,81,1
1127,34,11,1,1,7129,4520,0.0,3.0, ,1,1.0,1,48,1,5,13, , , ,,,,,,Empleado_Informal,10.0,10.0,0.0,7,45,1
1127,34,11,2,2,7322,1629,4.0,0.0,7,1,1.0,2,36,1,9,13, , ,3,9,7.0,2018.0, ,6.0,Empleado_Informal,13.5,13.5,0.0,7,16,1
1127,41,11,1,2,7513,1071,7.0,0.0, ,1,2.0,1,44,1,7,13, , ,3,2,5.0,2018.0,0,6.0,Empleado_Formal,12.5,12.5,0.0,7,10,1
